ticker,name,sector,ipo,delisted,first_data,last_data,bh_cagr_since_ipo,bh_vol,bh_sharpe,bh_max_dd,corr_qqq,ret_1y,ret_3y,ret_5y,ret_10y,overlay_cagr_zero,overlay_sharpe_zero,overlay_max_dd_zero,overlay_cagr_base,overlay_sharpe_base,overlay_max_dd_base,timing_adds_value_after_costs
PLTR,Palantir,software,2020-09-30,,2020-09-30,2026-07-31,0.5518207246265674,0.6945125012052957,0.9738820880010907,-0.8461538461538461,0.5080458169961954,-0.22413466994514974,0.9565597532429801,0.4134884009630668,,0.4200830981636017,0.9817977197763915,-0.5357116925301224,0.41258040701088206,0.9701174925102576,-0.5458177176579249,False
INTU,Intuit,software,1993-03-12,,1998-01-02,2026-07-31,0.14939261568546436,0.43061583319965463,0.5390814326954239,-0.7246564078472224,0.5814116690810789,-0.6040386644924722,-0.13306138990908645,-0.09100454863562868,0.116966958418671,0.044497608922265286,0.29619109709916247,-0.8976511705852056,0.03489771176845613,0.26558938320244724,-0.909071621118629,False
WDAY,Workday,software,2012-10-12,,2012-10-12,2026-07-31,0.09026755669357356,0.3935659090269324,0.41657772693947437,-0.6338009830409173,0.5382584568198941,-0.3253954897340954,-0.11337518843941985,-0.07780771804368303,0.07447080937396633,-0.00040875243185456434,0.133732585669661,-0.6303264319931594,-0.012205252365133035,0.08979626569661855,-0.6551303578887968,False
DDOG,Datadog,software,2019-09-19,,2019-09-19,2026-07-31,0.3316629950972718,0.5972651145348368,0.773828176116495,-0.6810643060643058,0.5196787063125813,0.799905964535196,0.34294430872051773,0.1922651448572752,,0.11962568247942773,0.4807886152929149,-0.4957214180539431,0.11167206316545286,0.4625526037756522,-0.5025297609308375,False
MDB,MongoDB,software,2017-10-19,,2017-10-19,2026-07-31,0.3075261712798656,0.658353165916308,0.7339138158572972,-0.7652257149206025,0.5269161578051422,0.3810770993615975,-0.059090964864002005,-0.0136788695070017,,0.062397972774784094,0.3560859789388192,-0.6512560490210471,0.053034846010897585,0.3363648986841216,-0.6681072621676865,False
NET,Cloudflare,software,2019-09-13,,2019-09-13,2026-07-31,0.49008166961986954,0.673923525994127,0.9291958631667153,-0.8258227848101268,0.5433960118090212,0.38899676375404213,0.6190035091007762,0.18932199870127198,,0.19687060373933019,0.6227910354727603,-0.7217654080424667,0.1863156287906047,0.6033323226288099,-0.7282398949391351,False
TEAM,Atlassian,software,2015-12-10,,2015-12-10,2026-07-31,0.12904200472910943,0.524581544754394,0.4937147656185261,-0.8752537489358914,0.4817804087910401,-0.48772757239210907,-0.16997582411761114,-0.17928869347021326,0.13800350550019247,0.1578543680094011,0.5927546652848639,-0.5270005179208135,0.15055459810472804,0.5744443279015812,-0.534152106685997,True
PATH,UiPath,software,2021-04-21,,2021-04-21,2026-07-31,-0.27390591047719104,0.6400094151223074,-0.17850860475771352,-0.8898026315789478,0.49804388334347777,0.062447960033305216,-0.09666008132519122,-0.2749701534309118,,-0.15820385307054208,-0.32889322499033835,-0.6137988059772981,-0.16574419330223944,-0.3538867464099263,-0.6302139999181202,False
IOT,Samsara,software,2021-12-15,,2021-12-15,2026-07-31,0.09309784454954984,0.658881718461093,0.4590961980711393,-0.7037793667007151,0.47241172679537147,-0.03270179081235436,0.1275314946288666,,,0.20558090932553696,0.658079765965249,-0.3859199923209987,0.19776611892363372,0.642048654188034,-0.3972094601679732,True
SHOP,Shopify,internet,2015-05-21,,2015-05-21,2026-07-31,0.40682349876425916,0.591886388110503,0.8724517487849233,-0.8481604164202061,0.5844782410203846,-0.04763840338183856,0.2189636657059122,-0.06544679672118225,0.4301435401241067,0.3391910572353456,0.8892880996708349,-0.5197762840552691,0.3290356745836598,0.8714503411156161,-0.5224115092961539,False
UBER,Uber Technologies,internet,2019-05-10,,2019-05-10,2026-07-31,0.07564215285747578,0.5048911784293896,0.3926184644016669,-0.6804657179818883,0.49116563824874604,-0.19717024189867471,0.1414519321667147,0.08193113651408734,,0.07786677132999742,0.39930438578802435,-0.5439454749715772,0.0665632791063866,0.3640683395329116,-0.5543905344505385,False
ABNB,Airbnb,internet,2020-12-10,,2020-12-10,2026-07-31,0.008194885647098804,0.4572527542611655,0.24580712925418582,-0.6195812580704668,0.5513733086055761,0.12445269016697513,0.002987668794670162,0.017794067359239163,,-0.10597777683877607,-0.2810185285979799,-0.609512621793778,-0.1155089883450372,-0.32004909787528607,-0.6311574282130048,False
APP,AppLovin,internet,2021-04-15,,2021-04-15,2026-07-31,0.4063461240462005,0.7728876005595025,0.8174180519890604,-0.9190248149760557,0.5142366720058354,0.08970300845008494,1.364710076095009,0.4426725766968196,,0.5884426361238679,1.1166943389118384,-0.6485471589847585,0.5832251426997146,1.1102302237930226,-0.6495132812098746,True
TTD,The Trade Desk,internet,2016-09-21,,2016-09-21,2026-07-31,0.19928673189198887,0.6818790218094198,0.6028140446575023,-0.8796502042864314,0.508302691382065,-0.7912520249942149,-0.40254412497090053,-0.25973093377537493,,0.047607579927783306,0.3242278950879701,-0.7913914627314016,0.039288538950036145,0.3060969181377065,-0.8013702279231782,False
CRWD,CrowdStrike,cybersecurity,2019-06-12,,2019-06-12,2026-07-31,0.4353073170905781,0.5589120666006088,0.9270460029750257,-0.6769220274234267,0.5380137263111273,0.6483644607578538,0.70278723171904,0.2320191062239525,,0.3157794968489669,0.918363464722367,-0.5109631285857017,0.3083574356055938,0.9027996265703081,-0.5197095504110787,False
PANW,Palo Alto Networks,cybersecurity,2012-07-20,,2012-07-20,2026-07-31,0.29492449959308353,0.39469150640319833,0.8562085202167261,-0.4798336472057442,0.4981438205410783,0.8129814784461575,0.39397165891542407,0.3773690281960609,0.31723517417487845,0.21556717291803995,0.7862279330058632,-0.4238778019942008,0.20613694404080762,0.7607597996983989,-0.44660279770389133,False
FTNT,Fortinet,cybersecurity,2009-11-18,,2009-11-18,2026-07-31,0.315586878170133,0.4147266741236389,0.8712947990997016,-0.5119803399549455,0.5243131795789618,0.5922721462982985,0.27979993225998934,0.24045121175242423,0.37021789250509274,0.13077398791261552,0.5407951971616151,-0.7501627577838195,0.11972871884923553,0.5106024988049604,-0.7669277541169996,False
ZS,Zscaler,cybersecurity,2018-03-16,,2018-03-16,2026-07-31,0.1995174468190104,0.5822678280170791,0.6050802358254532,-0.7640869895330547,0.501443009980211,-0.47450735064122584,-0.011671034076351061,-0.08729044507137584,,0.2022472505521471,0.6743293401348553,-0.5648187984363173,0.19345086727075333,0.6546025097835062,-0.5787394779974673,True
OKTA,Okta,cybersecurity,2017-04-07,,2017-04-07,2026-07-31,0.2131250871408943,0.539744916876555,0.62912501435983,-0.8457056686544658,0.5078142758118228,0.42257191540543415,0.25729847820655594,-0.11259636313568633,,0.1052011276610132,0.4490696012693772,-0.726033702540088,0.09282472609267778,0.42047201303611,-0.746429885383503,False
CYBR,CyberArk,cybersecurity,2014-09-24,,2014-09-24,2026-02-11,0.2582462418519269,0.46918819493971853,0.723330734241589,-0.5563675734199485,0.4756703339338988,0.04841398056260826,0.4194051009735067,0.20292456467195175,0.251576759162204,0.012936549088195637,0.20137550159968384,-0.7561591732923525,0.0013659259310190297,0.16569573273785188,-0.7775042375709534,False
S,SentinelOne,cybersecurity,2021-06-30,,2021-06-30,2026-07-31,-0.14598938051172416,0.6340574809407508,0.07374533240733654,-0.8435124508519011,0.5355089421643199,0.013829787234041824,0.0736615287414717,-0.16358466832276475,,-0.09597738517595455,-0.15613119241930526,-0.5456653807152233,-0.10453382187864746,-0.18634849988820223,-0.5627918300880721,False
